Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,HitCount,DocumentCount,Mean,Error,StdDev,Ratio,RatioSD,Allocated,Alloc Ratio
'Current — scan all N ordinals with Get()',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,0,100000,"62,309.6 ns","18,234.7 ns",999.50 ns,1.00,0.02,0 B,NA
'Proposed — enumerate set bits then materialize K',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,0,100000,820.2 ns,274.7 ns,15.06 ns,0.01,0.00,0 B,NA
'Current — scan all N ordinals with Get()',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,1,100000,"65,316.6 ns","30,731.8 ns","1,684.51 ns",1.00,0.03,1 B,1.00
'Proposed — enumerate set bits then materialize K',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,1,100000,820.8 ns,321.9 ns,17.65 ns,0.01,0.00,0 B,0.00
'Current — scan all N ordinals with Get()',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,10,100000,"67,733.8 ns","53,940.5 ns","2,956.66 ns",1.00,0.05,1 B,1.00
'Proposed — enumerate set bits then materialize K',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,10,100000,951.8 ns,863.3 ns,47.32 ns,0.01,0.00,0 B,0.00
'Current — scan all N ordinals with Get()',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,100,100000,"66,807.7 ns","22,758.1 ns","1,247.45 ns",1.00,0.02,1 B,1.00
'Proposed — enumerate set bits then materialize K',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,100,100000,"1,261.3 ns",311.9 ns,17.10 ns,0.02,0.00,0 B,0.00
'Current — scan all N ordinals with Get()',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,1000,100000,"73,015.8 ns","56,572.0 ns","3,100.90 ns",1.00,0.05,1 B,1.00
'Proposed — enumerate set bits then materialize K',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,1000,100000,"3,284.1 ns","3,929.3 ns",215.38 ns,0.05,0.00,0 B,0.00
