Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,HitCount,Mean,Error,StdDev,Median,Ratio,RatioSD,Gen0,Allocated,Alloc Ratio
"'Current — build full N permutation, scan all'",Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,0,"103,723.31 μs","1,329,165.08 μs","72,856.023 μs","64,906.38 μs",1.308,1.03,1000.0000,11013456 B,1.000
'Sort K — precompute K keys once (production-shaped)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,0,171.01 μs,"4,509.26 μs",247.168 μs,30.13 μs,0.002,0.00,0.0000,0 B,0.000
'Sort K — naive comparator (unfair: rebuilds keys in sort)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,0,37.03 μs,55.84 μs,3.061 μs,37.42 μs,0.000,0.00,0.0000,320 B,0.000
"'Current — build full N permutation, scan all'",Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,1,"53,856.51 μs","47,284.71 μs","2,591.834 μs","54,804.11 μs",1.002,0.06,1000.0000,11018112 B,1.000
'Sort K — precompute K keys once (production-shaped)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,1,267.92 μs,"7,337.11 μs",402.172 μs,37.50 μs,0.005,0.01,0.0000,0 B,0.000
'Sort K — naive comparator (unfair: rebuilds keys in sort)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,1,33.77 μs,75.27 μs,4.126 μs,34.94 μs,0.001,0.00,0.0000,32 B,0.000
"'Current — build full N permutation, scan all'",Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,10,"85,930.40 μs","102,488.89 μs","5,617.762 μs","83,969.65 μs",1.003,0.08,1000.0000,11018112 B,1.000
'Sort K — precompute K keys once (production-shaped)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,10,64.51 μs,134.53 μs,7.374 μs,66.51 μs,0.001,0.00,0.0000,1664 B,0.000
'Sort K — naive comparator (unfair: rebuilds keys in sort)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,10,85.85 μs,142.23 μs,7.796 μs,85.57 μs,0.001,0.00,0.0000,16952 B,0.002
"'Current — build full N permutation, scan all'",Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,100,"66,113.34 μs","30,555.10 μs","1,674.828 μs","65,198.26 μs",1.000,0.03,1000.0000,11018112 B,1.000
