Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,HitCount,Mean,Error,StdDev,Ratio,RatioSD,Gen0,Allocated,Alloc Ratio
'Current — facet scan all N ordinals',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,0,10.957 μs,8.2149 μs,0.4503 μs,1.00,0.05,0.0153,160 B,1.00
'Facet on K — intersect second bitset (conservative prototype)',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,0,6.141 μs,4.9929 μs,0.2737 μs,0.56,0.03,0.0229,160 B,1.00
'Facet on K — clear + re-add matches (tighter prototype)',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,0,6.052 μs,0.5387 μs,0.0295 μs,0.55,0.02,0.0229,160 B,1.00
'Current — facet scan all N ordinals',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,1,10.711 μs,3.0083 μs,0.1649 μs,1.00,0.02,0.0305,240 B,1.00
'Facet on K — intersect second bitset (conservative prototype)',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,1,6.613 μs,3.4702 μs,0.1902 μs,0.62,0.02,0.0381,272 B,1.13
'Facet on K — clear + re-add matches (tighter prototype)',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,1,6.328 μs,3.1010 μs,0.1700 μs,0.59,0.02,0.0381,240 B,1.00
'Current — facet scan all N ordinals',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,10,11.274 μs,8.3146 μs,0.4558 μs,1.00,0.05,0.0305,240 B,1.00
'Facet on K — intersect second bitset (conservative prototype)',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,10,6.723 μs,4.8015 μs,0.2632 μs,0.60,0.03,0.0381,272 B,1.13
'Facet on K — clear + re-add matches (tighter prototype)',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,10,6.268 μs,1.6274 μs,0.0892 μs,0.56,0.02,0.0381,240 B,1.00
'Current — facet scan all N ordinals',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,100,11.262 μs,4.6837 μs,0.2567 μs,1.00,0.03,0.0305,240 B,1.00
