Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,HitCount,Mean,Error,StdDev,Median,Ratio,RatioSD,Gen0,Allocated,Alloc Ratio
'Current — full N cold permutation + scan',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,2000,98.521 ms,"1,015.5918 ms",55.6680 ms,70.201 ms,1.19,0.76,1000.0000,10755.33 KB,1.00
'Sort K — precompute K keys once (production-shaped)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,2000,1.863 ms,14.3630 ms,0.7873 ms,1.612 ms,0.02,0.01,0.0000,332.66 KB,0.03
'Current — full N cold permutation + scan',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,5000,51.114 ms,14.0815 ms,0.7719 ms,51.261 ms,1.00,0.02,1000.0000,10759.88 KB,1.00
'Sort K — precompute K keys once (production-shaped)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,5000,2.810 ms,7.3350 ms,0.4021 ms,2.617 ms,0.05,0.01,0.0000,824.85 KB,0.08
'Current — full N cold permutation + scan',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,10000,47.487 ms,6.7232 ms,0.3685 ms,47.639 ms,1.00,0.01,1000.0000,10759.88 KB,1.00
'Sort K — precompute K keys once (production-shaped)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,10000,5.257 ms,4.8359 ms,0.2651 ms,5.402 ms,0.11,0.00,0.0000,1645.16 KB,0.15
'Current — full N cold permutation + scan',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,15000,67.440 ms,99.9774 ms,5.4801 ms,67.780 ms,1.00,0.10,1000.0000,10759.59 KB,1.00
'Sort K — precompute K keys once (production-shaped)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,15000,4.396 ms,3.3771 ms,0.1851 ms,4.490 ms,0.07,0.01,0.0000,1621.73 KB,0.15
'Current — full N cold permutation + scan',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,20000,53.658 ms,23.8757 ms,1.3087 ms,53.060 ms,1.00,0.03,1000.0000,10759.88 KB,1.00
'Sort K — precompute K keys once (production-shaped)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,20000,6.082 ms,0.3784 ms,0.0207 ms,6.086 ms,0.11,0.00,0.0000,2139.67 KB,0.20
'Current — full N cold permutation + scan',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,30000,51.194 ms,23.2230 ms,1.2729 ms,51.003 ms,1.00,0.03,1000.0000,10759.88 KB,1.00
'Sort K — precompute K keys once (production-shaped)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,30000,8.081 ms,7.3857 ms,0.4048 ms,7.988 ms,0.16,0.01,0.0000,2488.92 KB,0.23
'Current — full N cold permutation + scan',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,40000,51.723 ms,48.0064 ms,2.6314 ms,52.680 ms,1.00,0.06,1000.0000,10759.88 KB,1.00
'Sort K — precompute K keys once (production-shaped)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,40000,12.984 ms,5.5394 ms,0.3036 ms,12.923 ms,0.25,0.01,0.0000,4900.37 KB,0.46
'Current — full N cold permutation + scan',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,50000,53.540 ms,53.7256 ms,2.9449 ms,54.188 ms,1.00,0.07,1000.0000,10759.59 KB,1.00
'Sort K — precompute K keys once (production-shaped)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,50000,21.606 ms,39.0523 ms,2.1406 ms,21.118 ms,0.40,0.04,1000.0000,6124.05 KB,0.57
