Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,HitCount,Mean,Error,StdDev,Median,Ratio,RatioSD,Gen0,Allocated,Alloc Ratio
"'Current — build full N permutation, scan all'",Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,0,"126,683.51 μs","897,834.30 μs","49,213.328 μs","135,913.33 μs",1.133,0.61,1000.0000,11013456 B,1.000
'Sort K — precompute K keys once (production-shaped)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,0,179.97 μs,"4,673.52 μs",256.171 μs,40.25 μs,0.002,0.00,0.0000,0 B,0.000
'Sort K — naive comparator (unfair: rebuilds keys in sort)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,0,45.73 μs,57.73 μs,3.164 μs,47.15 μs,0.000,0.00,0.0000,32 B,0.000
"'Current — build full N permutation, scan all'",Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,1,"48,240.86 μs","54,736.77 μs","3,000.307 μs","47,815.67 μs",1.003,0.08,1000.0000,11018112 B,1.000
'Sort K — precompute K keys once (production-shaped)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,1,179.12 μs,"4,621.93 μs",253.343 μs,37.56 μs,0.004,0.00,0.0000,4656 B,0.000
'Sort K — naive comparator (unfair: rebuilds keys in sort)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,1,42.45 μs,13.68 μs,0.750 μs,42.48 μs,0.001,0.00,0.0000,4688 B,0.000
"'Current — build full N permutation, scan all'",Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,10,"46,787.81 μs","40,164.04 μs","2,201.527 μs","45,834.90 μs",1.001,0.06,1000.0000,11018112 B,1.000
'Sort K — precompute K keys once (production-shaped)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,10,60.73 μs,35.24 μs,1.932 μs,61.56 μs,0.001,0.00,0.0000,6320 B,0.001
'Sort K — naive comparator (unfair: rebuilds keys in sort)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,10,61.72 μs,149.06 μs,8.170 μs,65.10 μs,0.001,0.00,0.0000,16952 B,0.002
"'Current — build full N permutation, scan all'",Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,100,"60,427.01 μs","46,522.29 μs","2,550.044 μs","60,916.50 μs",1.001,0.05,1000.0000,11018112 B,1.000
